=================================================
FastCopy(ver5.4.2 (Admin)) start at 2023/11/19 07:21:15
<Source>  C:\Users\M\Desktop\WebPages\
<DestDir> H:\Windows\Desktop\
<Command> Diff (Size/Date)
-------------------------------------------------
+ H:\Windows\Desktop\WebPages\   <20231118-185431>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2.htm   <20230809-091900 42,980>
+ H:\Windows\Desktop\WebPages\Accelerating QEMU on Windows with HAXM - QEMU.htm   <20230809-060335 17,645>
+ H:\Windows\Desktop\WebPages\Apt Update Not Working on Windows Subsystem for Linux [SOLVED].htm   <20230808-105242 20,631>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE).htm   <20221117-181057 88,425>
+ H:\Windows\Desktop\WebPages\Build An Accelerated KVM Guest Custom Kernel for WSL 2 - 2022 Edition.htm   <20231029-191452 34,334>
+ H:\Windows\Desktop\WebPages\Code - All PS3 1.24 Offsets Se7enSins Gaming Community.htm   <20221231-175430 338,200>
+ H:\Windows\Desktop\WebPages\Dual Boot Bluetooth Pairing Solved - OSx86 10.7 (Lion) InsanelyMac.htm   <20221126-003137 388,193>
+ H:\Windows\Desktop\WebPages\Enable WSL2 nested virtualization · GitHub.htm   <20230808-114715 125,305>
+ H:\Windows\Desktop\WebPages\How to Install macOS on QEMU on Windows PC (Ventura, Sonoma).htm   <20230808-112009 220,427>
+ H:\Windows\Desktop\WebPages\How to Update from WSL to WSL 2 in Windows 10 Tutorials.html   <20230808-095104 98,751>
+ H:\Windows\Desktop\WebPages\hyper v - How to run KVM nested in WSL2 (or vmware) - Server Fault.htm   <20230809-061356 174,415>
+ H:\Windows\Desktop\WebPages\PS2 .psu Saves = PS3 internal memory card (without needing a PS2 - PS3 memory card) sefemedical.com - The Independent Video Game Community.htm   <20230101-190814 215,627>
+ H:\Windows\Desktop\WebPages\QEMU and Windows.htm   <20230807-090038 22,456>
+ H:\Windows\Desktop\WebPages\Replacing the WSL Kernel.htm   <20230809-071946 23,663>
+ H:\Windows\Desktop\WebPages\ubuntu - Running graphical Linux desktop applications from WSL 2 – 'Error E233 cannot open display' - Stack Overflow.htm   <20230809-091116 289,697>
+ H:\Windows\Desktop\WebPages\Why are dot underscore ._ files created, and how can I avoid them.htm   <20221117-180954 309,012>
+ H:\Windows\Desktop\WebPages\Windows10 WSL2 Ubuntu _ Debian # no network - Stack Overflow.htm   <20230809-051939 338,841>
+ H:\Windows\Desktop\WebPages\[Tutorial] PSN Bypass Techniques and Setting Up Development_Debugging Environment PSX-Place.htm   <20221125-010646 461,116>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\   <20231118-184340>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\33820650.jpg   <20230809-091900 41,678>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\5546CC9B-B5B9-4408-BC28-DF22DB1F89AE.jpeg   <20230809-091900 3,827>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\a.htm   <20230809-091900 19,569>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\cards.css   <20230809-091900 26,093>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\cards.js   <20230809-091859 7,400>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\casper.js   <20230809-091859 2,866>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\EYQBisWWkAEdxPX.jpg   <20230809-091900 153,968>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\ezgif.gif   <20230809-091900 12,596,305>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\ezgif_002.gif   <20230809-091900 12,596,305>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\ezgif_003.gif   <20230809-091900 12,596,305>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\ezgif_004.gif   <20230809-091900 12,596,305>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\favicon.ico   <20230809-091900 318>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\favicon.svg   <20230809-091900 959>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\favicon_002.ico   <20230809-091900 501>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\image-11.png   <20230809-091900 400,493>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\image-12.png   <20230809-091859 37,127>
